Name	Location	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	Status	Log	Building
NW_RobotRoom	800, 500	RobotRoom	RobotRoom	RobotRoom	RobotRoom	EODPIT	NONE	NONE	FALSE	1, 2, 3, 4, 5	3
NE_Building1	500, 500	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	6, 7, 8, 9, 10	1
NW_Building1	100, 200	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	11, 12, 13, 14, 15	1
NE_RightFrontOffice	0, 500	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	16, 17, 18, 19, 20	1
NE_LeftFrontOffice	0, 400	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	21, 22, 23, 24, 25	1
SW_Building1	500, 800	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	26, 27, 28, 29, 30	1
SE_EntryWay	900, 800	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	31, 32, 33, 34, 35	2
SE_EastFacing	1100, 600	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	36, 37, 38, 39, 40	2
NE_SideDoor	1100, 100	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	41, 42, 43, 44, 45	3
SE_Inner_Door	820, 750	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	46, 47, 48, 49, 50	2
SW_Inner_Door	400, 700	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	51, 52, 53, 54, 55	1
SE_SouthFacingDoor	1050, 700	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	56, 57, 58, 59, 60	2
NE_AuxilaryDoor	500, 80	Regular	Regular	Regular	Regular	EODPIT	NONE	NONE	FALSE	61, 62, 63, 64, 65	3
SW_Middle	750, 600	InteriorDoors	InteriorDoors	InteriorDoors	InteriorDoors	EODPIT	NONE	NONE	FALSE	66, 67, 68, 69, 70	1
SE_Middle	900, 600	InteriorDoors	InteriorDoors	InteriorDoors	InteriorDoors	EODPIT	NONE	NONE	FALSE	71, 72, 73, 74, 75	2
NW_Middle	750, 400	InteriorDoors	InteriorDoors	InteriorDoors	InteriorDoors	EODPIT	NONE	NONE	FALSE	76, 77, 78, 79, 80	1
NE_Middle	900, 400	InteriorDoors	InteriorDoors	InteriorDoors	InteriorDoors	EODPIT	NONE	NONE	FALSE	81, 82, 83, 84, 85	2
