Log Number	Employee ID	Hour	Min	Second
1	946344	4	21	47
2	926557	6	22	11
3	888234	11	1	20
4	940565	1	43	13
5	905219	1	28	0
6	899284	14	4	55
7	940565	13	57	49
8	889256	5	39	5
9	919269	23	55	20
10	893319	17	48	18
11	899284	4	20	7
12	884965	9	20	34
13	884558	8	41	4
14	884558	14	11	38
15	893319	0	32	32
16	888106	18	29	52
17	882664	11	26	25
18	888234	6	14	40
19	893319	0	43	40
20	932906	13	18	27
21	882664	19	57	54
22	882876	17	1	7
23	884965	7	31	15
24	877913	15	37	3
25	889023	11	23	33
26	884146	12	14	47
27	915121	10	13	38
28	884965	22	39	29
29	877913	13	12	5
30	884558	16	11	19
31	888234	0	35	57
32	905219	5	48	28
33	926557	15	25	38
34	905219	0	51	28
35	889023	9	47	39
36	888106	1	13	11
37	883460	5	29	11
38	883460	12	27	1
39	927969	21	53	29
40	884558	23	38	5
41	888234	23	22	18
42	899284	21	2	8
43	889148	21	10	0
44	883451	23	43	4
45	912365	3	0	49
46	882876	20	8	32
47	883460	11	22	45
48	889148	14	57	15
49	883692	18	7	51
50	877913	14	39	32
51	884965	5	35	1
52	898745	19	19	6
53	905219	21	49	15
54	884965	23	4	34
55	889023	10	39	5
56	919269	0	23	14
57	882243	12	15	17
58	884969	15	18	20
59	905219	16	33	21
60	884558	19	59	17
61	915121	2	13	49
62	884209	4	3	51
63	889256	16	45	42
64	883460	20	23	16
65	877913	11	25	45
66	884965	6	53	8
67	883428	4	32	29
68	884558	22	3	8
69	889934	15	13	20
70	883428	12	31	33
71	867321	10	40	11
72	883692	14	53	20
73	889148	15	28	28
74	893319	10	34	51
75	889934	21	28	52
76	883460	13	58	24
77	915121	10	32	32
78	927969	13	35	44
79	915121	17	36	44
80	899284	15	16	21
81	877935	1	3	5
82	888106	16	21	46
83	884560	1	1	24
84	883460	2	17	16
85	883460	16	41	12
86	893319	19	25	14
87	884965	21	20	17
88	883692	11	35	14
89	946344	3	17	39
90	882664	5	1	14
91	919269	19	57	45
92	889256	4	20	25
93	927969	4	1	16
94	919269	22	9	31
95	889256	6	36	37
96	889256	10	16	54
97	889148	0	56	20
98	889256	9	48	3
99	883460	4	23	53
100	877935	1	6	17
101	883366	17	57	27
102	926557	9	6	38
103	888234	7	21	31
104	889023	8	10	4
105	888234	1	50	38
106	890591	3	29	53
107	883248	6	23	41
108	935041	0	40	36
109	905701	22	15	37
110	921655	20	29	41
111	905701	3	5	10
112	883015	1	7	10
113	888104	12	32	35
114	895820	0	48	59
115	888104	23	43	31
116	889716	13	43	18
117	921655	7	35	14
118	905701	12	34	5
119	882390	5	59	53
120	123456	21	52	11
121	897187	16	48	7
122	882390	14	5	23
123	906039	18	8	33
124	883248	9	0	25
125	883139	8	12	34
126	884352	2	6	27
127	921655	11	37	51
128	889981	15	42	15
129	935041	11	44	33
130	882390	22	40	18
131	889716	16	56	10
132	890591	18	56	51
133	883848	4	9	56
134	123456	18	41	50
135	905701	1	17	34
136	944946	15	54	43
137	883015	22	48	47
138	883248	16	30	0
139	884352	15	24	41
140	935041	10	4	32
141	889981	22	46	29
142	890424	9	51	36
143	888823	5	28	46
144	884352	11	7	50
145	895820	3	10	19
146	890424	16	7	5
147	915111	12	12	45
148	883848	0	1	19
149	906039	14	50	26
150	883139	17	39	46
151	889116	21	31	5
152	943517	6	25	59
153	884352	12	8	30
154	888104	5	58	27
155	883139	4	7	58
156	905701	14	41	40
157	123456	13	23	18
158	882390	14	36	51
159	883248	5	17	6
160	888104	16	0	8
161	889368	18	23	28
162	897187	20	22	12
163	890424	2	46	41
164	884352	6	49	40
165	890424	3	34	37
166	899135	2	25	56
167	889116	7	5	43
168	882390	17	44	54
169	955549	8	20	39
170	889116	21	37	17
171	943517	5	43	3
172	915111	1	31	22
173	890424	9	0	14
174	905701	13	55	5
175	895820	15	38	50
176	943517	7	46	43
177	883015	2	26	58
178	890591	10	25	11
179	884352	16	6	31
180	888823	20	47	55
181	888104	15	21	33
182	889981	3	31	53
183	882390	6	56	31
184	943517	11	20	53
185	899135	11	36	19
186	882390	14	44	28
187	889368	2	14	34
188	935041	13	24	2
189	905701	18	28	27
